"CSZX","城市之星"
"GYB8388","宁海县西店晨源电器厂"
"SUJUNWUJIN","上海苏俊实业有限公司"
"CHCHXIN88","陈长兴（个体经营）"
"HZD19572010","深圳市中德听力技术有限公司"
"HBJIAWENWEN","隆鑫物流公司"
"CNC2005","陈能昌（个体经营）"
"MCWX","胡秀红"
"PUJINGCHINA","深圳市普京物流有限公司"
"CHENGYUEHDMI","东莞市成越电子有限公司"
"ZHENGSHUOIVAN","广州市越秀区施耐德电气器材贸易部"
"AMW1012","力天和激光设备有限公司"
"YUHUITONGXIN","长沙宇辉通信技术有限公司"
"SZWULIUHUOYUN","深圳市志强运输服务有限公司 "
"LONGCHENKUAIDI","东莞市龙诚货运代理有限公司"
"XTST1688","北京鑫泰顺通货运有限公司"
"JBWL999","广州市杰邦物流服务有限公司"
"XB2427","广东新邦物流有限公司狮山分公司"
"LZWULIU","北京联众物流公司"
"LONGRUTAOCORP","上海浩凯物流有限公司"
"NSYLOGISTICS","广州新世域货运代理有限公司"
"HHB55","山东青岛树脂工艺品有限公司"
"CY808","温州市嘉大皮具有限公司"
"WEARJEANS","广州华紫贸易有限公司"
"XJTC201314","叶龙"
"BESTMWDMGZ","广州市海珠区裳服廊制衣厂"
"SICHUANCHEMA","四川驹马运输有限公司"
"ZHONGYESUDI","深圳市中野大通货运代理有限公司"
"MOBEILAOSOU","常州正天物流有限公司（北京分公司）"
"XIE1ZHU","sale tp"
"LIULIN83628088","刘林（个人）"
"GUUCONG","顾大侠公司"
"H362519Q","大夏集团众达物流有限公司"
"HONGXIANGWUL","苏州呈仁物流有限公司"
"DIOR058","广州兴鑫物流有限公司"
"LIQI4029433","上海明心物流有限公司"
"HUANGLEILEI868","溧水县萍萍电子商务商行"
"SHUAISHUAI18292","董帅帅"
"LEIXIANLI1688","余姚市春江电器有限公司"
"KLDCWJH","德邦物流江苏常熟营业部"
"XIAOHAIBAOBAOZ","张春芳(个体经营)"
"JXANTAIWL","江西安泰物流有限公司"
"SENYAN1688","石狮市森研服装加工厂"
"YZMAER","扬州宏远化工新材料有限公司"
"XINDL88888","惠安县水南石雕工艺品店"
"XINDALU56","深圳市新大陆联合物流有限公司"
"CZYFXSZP","常州市云峰橡塑制品有限公司"
"MDDZ998","东莞市铭旭电子有限公司"
"GZJUNYI1688","深圳市兴安达物流有限公司"
"JBWL021","上海集帮物流有限公司"
"NANGFENG123","广州市奋发物流有限公司"
"EVGMAXIN","苏州鲁运运输有限公司"
"DJHFDC","惠昌物流（深圳）有限公司"
"JIM666","峻奇（上海）国际物流有限公司"
"JXANTAIWL01","江西安泰物流有限公司"
"RG56HZ","深圳市冉光物流有限公司"
"HUIXI56","东莞市南城汇曦货物代理服务部"
"SHJATO","上海佳速物流有限公司"
"GSWL0512","苏州国顺物流有限公司"
"GANJIANG56","上海赣江物流有限公司"
"BOJINWULIU","搏今物流有限公司"
"LIUWEIDONG88","北京市京南凯达物流有限公司"
"LIUXUAN20120308","东莞安之达货运有限公司 国内业务部"
"BJYIMENG56","北京亿盟物流有限公司"
"KANGLI168","广州晨阳国际货运代理有限公司"
"TTKDEX","海航天天快递（上海）有限公司"
"YUIOP12369","广州市远朝物流有限公司"
"YONGKUN2828","永坤电机(深圳）有限公司"
"WWW56LIPIN","北京永诚信通贸易有限公司"
"AN974","揭阳市尚之韵五金工艺制品厂"
"CORKPADS","东莞市杰凯包装材料有限公司"
"MLYKBJ","浙江省义乌市天荣贸易有限公司"
"NJFRYDQC","宁津县富睿运动器材有限公司"
"CDLFHDJX","成都联发恒达机械有限公司"
"CXSYE","慈溪市思逸尔微型喷雾器有限公司"
"JISHIYUPAOTUI","京东极时雨跑腿咨询服务有限公司"
"SHYUSHI56","上海禹石物流有限公司"
"LIANZHIFEIFEI1688","义乌市帛泰纺织有限公司"
"ZHOUJIANLONGRI","傻二哥时尚精品"
"GDYEMING","广州市白云区太和泰邦物流鲁通货运部"
"FDS1118","深圳市龙岗物流公司"
"DGJDHY","东莞市佳达物流有限公司"
"SHYONGMIN56","上海永民物流有限公司"
"PETER138139","浩通国际货运代理有限公司深圳分公司"
"YOU66279876","上海晟锋物流有限公司（总部）"
"LIJUNHU56","江西和顺物流有限公司"
"CHENHUIWL","广昌县晨晖物流有限公司"
"LIHU77924","苏州亚东国际物流有限公司国内物流部"
"YANGXIAOFANG2011","苏州市明旺货运有限公司"
"PHAIER","佛山市自在王家具有限公司 "
"SDQUFURUITE","曲阜市锐特工程机械配件有限公司"
"ZHAOHAIJUN0231985","永兴印刷"
"WOSHIMAOJI7","长沙市手工定做钻壳代理韩版饰品小额批发有限公司"
"HGSWLGS","杭州宇康物流有限公司"
"SZZHH56","苏州中汇物流有限公司"
"LIUHU19860214","武汉川渝物流发展有限公司"
"GZSQFS","广州市越秀区胜麒服饰商行"
"HEXIEHUAHUI","沭阳县和谐花卉苗木园"
"YQJF126","张功超（个体经营）"
"GZMINGYU","东莞市桥联货运有限公司"
"DENGJIAN1126","深圳市龙岗区坪地嘉鑫贷运代理服务部"
"VIP20090808","上海迈歌信息科技有限公司诚信通事业部"
"JUSTALI","上海怡游商贸有限公司"
"SOMEBODY2008","三生网媒有限公司"
"YFH19880303","深圳市原飞航物流（绍兴分）有限公司"
"HENGLITAIZUAN","东莞市横沥台钻五金模具店"
"BOBO18648","bobo18648"
"QQ810366256","东莞市捷邦物流有限公司"
"GPWL","贵平物流"
"WODEWEILAIBUSHIMENG5","山东世通承运物流配送服务有限公司"
"HEBEI88XINYUJIE","雄县鑫宇压缩毛巾厂"
"ZJHENGDE888","义乌市恒德机电贸易有限公司"
"WANGYINWU2012","诸暨市江藻永明鞋厂 销售部"
"ALI56ALI56","阿里物流"
"YINHAO5888","上海银豪物流有限公司"
"WANG1311829441","北京昊凌物流有限公司"
"JINGHANG2001","深圳市深京航物流有限公司"
"SHIXING56","上海适行物流有限公司"
"HEHAIWULIU","上海鹤海物流有限公司"
"HTWLYS","北京海涛物流有限公司"
"WEGO56","上海维京物流有限公司"
"SHANGYUN56","上海双运物流有限公司"
"SZQD56","深圳市庆达物流有限公司"
"FENGSU56COMPANY","台州市锋速物流有限公司"
"TIANHUIWULIU168","东莞市天辉物流有限公司"
"GOOBNN8","上海港邦物流有限公司"
"ZHENGJIAN1011","郑建（个体经营）"
"NTGTWL","南通港通物流有限公司"
"MC364198632","郑梦晨"
"PGB316","兴联冷藏货运代理有限公司"
"JLH8866","深圳市佳立豪塑胶材料有限公司"
"LVNL521","苏州长飞国际快递有限公司"
"QZHJGJ","海门市清正和紧固件有限公司"
"MEIPAR","佛山市南海区美派彩印厂"
"WSQLIKE","宁波天润国际物流有限公司业务一部"
"LEW1688","刘立海"
"ZHANGXIUYUN003","济南铭仕港物流有限公司储运部"
"ZHANGCHUNXIAO56","顺宏达货运公司业务部"
"LIXIANGKUNT","广州市番禺区凌金货物运输代理服务部"
"SHZJPS","上海雄坤物流有限公司"
"BJCYWYWL","北京春雨伟业物流有限公司"
"PYJIEXUN","广州市捷都货运代理有限公司"
"SHENZHENHUOYUN56","深圳市汉邦物流有限公司"
"YI00YI08","南京广源货运配载部"
"SZJIEYINGTONG","深圳市捷盈通运输有限公司"
"SHBX66278355","上海冰鑫物流有限公司"
"HONG198595","青岛万隆华宇物流有限公司"
"DSLUOWENBO8","上海大众搬家运输有限公司普陀分公司"
"NENGFEIWULIU","上海能飞物流有限公司"
"JLWL0002","健朗物流广州有限公司北区业务部"
"ALP","阿里物流"
"AAEWEB","AAE全球专递"
"GSD","共速达物流"
"DAGUANGSU","ali China networking Limited company"
"WHCHAOYUAN","芜湖市超源包装有限公司"
"YIWUZONGXINWULIU","义乌市宗信货物运输有限公司"
"HAODIAPPLIANCE","杭州好迪电器有限公司"
"SHENWAN888","青岛华九服饰有限公司"
"LGHPCB1983","李桂红(个体经营)"
"WUHPY","武汉奥凯物流服务有限公司"
"KIMI235","阿里测试公司"
"CHUNDAXIN","深圳市春达鑫光电有限公司"
"DOU859368070","桂鹏飞（个体经营）"
"BJSANJIN","付兆亮（个体经营）"
"HUANGJINWL","宁波黄金物流有限公司"
"HUALIANZHANGSIR","杭州石大路货运市场华友货运部"
"JIDAI2012","京达货运服务部"
"ZGJINCHUAN","广州金川物流有限公司"
"YIXINGYUNSHU","无锡驿兴运输有限公司"
"LIUCAN19791014","东莞厚街诚达物流公司"
"BJJIJIETONG","荆建财"
"LAIBANG88","无锡市来邦货运代理服务部"
"ZHIKUPIDAI","广州市海珠区致酷皮带店"
"GXJXWL","广西江夏物流有限责任公司"
"WXN731216","宁波大道国际货代有限公司业务部"
"BEIZHONGMEI","程希保(个体经营)"
"HONCERLOGISTICS","广西浩承物流有限公司"
"X551893821","杭州德邦货运代理有限公司临浦分公司"
"JUNDONG2012","东莞南城骏东物流服务代理部"
"NANGANGSZ","苏州南港物流有限公司"
"FZQ83853136","无锡市隆鑫运输有限公司"
"HSWL512","上海宏盛物流有限公司"
"XINYANGNONGYE","郑州市亨泽储运有限公司"
"HOUMINTAN","|莞市寮步星鑫货运代理II部"
"WXMINGJIAHUOYUN","无锡明佳货运有限公司"
"YZDNHXWN","仪征市真州镇弘途货物配载服务部"
"ICEFISH1663","厦门大田国际货运有限公司"
"LIMAOCHUN123","广州惠昌物流有限公司"
"JINFEIYAN888","广州金飞雁运输服务有限公司"
"DGTIANSHI56","东莞市南城天时货运代理部"
"BJTAIHEXING","北京太和兴工贸有限公司"
"FU20111123","付婉婉"
"WPS1688","三门峡市渑池县鼎盛矿产资源有限责任公司"
"BXDGOOD","深圳市宇速货运有限公司"
"IC988","苏州新电元半导体有限公司"
"LINXEUQING","温州信泰信息货运部"
"QQ347357307","璧山县客隆编织袋经营部"
"LXH782786274","李绪煌"
"SHZYWL","上海卓业物流有限公司"
"CHUNMEI0321","深圳市金桥环世货运代理有限公司"
"BJZXTHY","北京中兴通货物运输有限责任公司"
"GONGSUDA1212","共速达物流股份公司"
"SSHY56","盛世宏运物流公司"
"WUXIJINGDU56","无锡京都货运代理有限公司"
"HY86821275","海盐苏通物流运营部"
"JIANGZUNXIANG0","上海天地华宇物流有限公司松江分公司"
"WYY19901105","吴徐（个体经营）"
"BJHONGYUNWULIU","北京市宏运物流有限公司"
"GZHXWULIU","宏信物流广州有限公司"
"JXCJWL02","广昌创佳物流有限公司"
"SHANCHUANWULIU","无锡市山川物流有限公司"
"SHJINLAI56","上海景莱物流有限公司"
"GZJLWL480","广州市健朗物流公司业务部"
"HLCXWL","北京汉龙诚信物流有限公司（朝阳分公司）"
"JIELIGUOJI","乐清市捷利货运有限公司"
"HC5688","广州市海川运输有限公司"
"SUYUE","苏粤货运"
"HYKD","上海航宇快递服务有限公司"
"SZJARY","深圳市飞通国际货运代理公司"
"THEROCK2012","深圳市棕树物流货代有限公司"
"FFD2586961844","东莞市横沥方方达货运代理服务部"
"JINGYIWULU8","东莞市精益货运代理有限公司"
"HY443061146","江门市德邦物流有限公司新会营业部"
"WULIUFAHUO","北京顺达物流公司"
"MINGHE158","张名和"
"QIHUI688","曾寒松"
"SHXUABAOO","上海梦远物流有限公司"
"JYTTKY051082452817","无锡市佳粤天天快运有限公司"
"ZENGHAISHENG918","曾海生（个人会员）"
"TAO20083","河北省廊坊市千姿百袋"
"ZHEJIANGKX","浙江康翔汽车部件制造有限公司"
"WZGCBZJ","温州市龙湾海滨冠成标准件厂"
"ZHICHENG6688","漳州市智诚电子有限公司"
"WUIEUANGGAO","颉伟"
"MY122231865","辽宁邮政速递物流有限公司沈阳市分公司"
"YANGGUANGXINYUAN","山西阳光服装有限公司"
"CTWULIU1","深圳创通物流有限公司"
"JIM62601707","乐清市昊鑫电力科技有限公司"
"GZBM2010","苍南县龙港镇益达包装厂"
"GZWSH3618","广州市白云区同和豪斯发五金商店"
"W737221070","武进区洛阳富阁尔装饰用品厂"
"BC68686867","常州市百城货运公司"
"LONGTAIJX","宁波市北仑区龙泰精密机械有限公司"
"JUNHUANG56","苏州市峻煌运输有限公司"
"TIANXING028","温州市天行物流有限公司"
"CZBDDWL","苏州遍地达货运有限公司"
"SHJS56","上海健松物流有限公司"
"JYJYP","l刘锋银（个体经营）"
"LAOHUGONGSI","广西南宁市文彬包装有限公司"
"MINTONGDZ","东莞市敏通电子科技有限公司"
"AMINGG","王海明（个人会员）"
"A22944","晁成林(个体经营)"
"MENGJIALE","宁波市江北越发床上用品厂"
"XINMEISHOUSHI","浙江瑞安市信美首饰厂"
"FEITECC","深圳市捷美达国际货运代理业务部"
"LQH9931","龙岩润达贸易商行"
"MDLJXC","瑞安市美地利机械厂"
"JIAXUNWULIUGONGSI","马伟强（个体经营）"
"CQLM0813","东莞市石排贝森货运代理服务部"
"SHUJIE324","郑州军鑫子弹壳工艺品公司"
"ZFB248456431","宝贝服装公司"
"TANGLZM2011","林智敏（个体经营）"
"JFC5","广州市骏丰物流速递有限公司"
"CASPERSHW","远成物流空运分公司"
"HJHJ800529","王继涛"
"DGZHIQIANGMJ","东莞市大岭山志强工控电子设备厂"
"HWP8680","杭州阳帆电源有限公司"
"ZHANGXINYAND","深圳市中之海进出口有限公司"
"ROBINLIAO118","东莞市南城骏东货运代理服务部"
"MYLOVE325119","上海在凌物流有限公司"
"QYYTWL","东莞市悦通物流有限公司"
"LIANCHANGWULIU","南京联畅运输有限公司"
"PXXB2012","广州市新邦物流服务有限公司郫县分公司"
"SZCXWL168","深圳市诚信物流有限公司"
"BJXTWULIU","北京兴铁顺通物流有限公司"
"SHENCHUANWULIU","深圳市深川物流有限公司"
"HEMAYU2011","衢州市华鼎货运有限公司"
"TANGCHAO1987","重庆明才农机配送中心"
"DAJIU9","厦门大田国际货运有限公司"
"HAIBINWL","上海海彬物流有限公司"
"SXZHUORANWULIU","杭州卓然物流有限公司"
"YTO","圆通速递"
"TNT","TNT"
"UPS","UPS"
"ANJELEX","安捷快递"
"ANXINDA","安信达快递"
"EES","百福东方"
"PEWKEE","彪记快递"
"FKD","飞康达物流"
"PHOENIXEXP","凤凰快递"
"ND56","港中能达物流"
"GDEMS","广东邮政物流"
"HENGLU","恒路物流"
"CHINADRAGON","华夏龙物流"
"HTKY","汇通快运"
"JOUST","急先达"
"TMS","加运美"
"JIAYI","佳怡物流"
"LBEX","龙邦物流"
"CAE","民航快递"
"PEISI","配思货运"
"QCKD","全晨快递"
"QUANJT","全际通物流"
"ATEXPRESS","全日通快递"
"APEX","全一快递"
"SUNDAPOST","上大物流"
"MANCO","万家物流"
"EWINSHINE","万象物流"
"GZWENJIE","文捷航空速递"
"F5XM","伍圆速递"
"YFHEX","原飞航物流"
"YADEX","源安达"
"YWFEX","源伟丰快递"
"YCGWL","远成物流"
"YFEXPRESS","越丰物流"
"YTEXPRESS","运通快递"
"QINGUOFENG88","秦国峰(个体经营)"
"ZJS","宅急送"
"GYWL2011","贵州贵运物流服务部"
"HEJINBO99","广州朵绿贸易有限公司"
"GUANGDIDS","中山市古镇光的灯饰配件厂"
"LIBIMQIANG1","创意灯饰有限公司"
"FSBCJS","黎建华"
"APOSTATIZE8","马艳芝"
"SZZZ56A","深圳市中兆物流有限公司"
"CHUANGQIFUSHI2010","广州劢豹服饰有限公司"
"FORWAD2011","深圳泰嘉国际物流有限公司"
"JIMTRADE","杭州吉姆贸易有限公司"
"GLCHUAN2010","耿鲁川"
"ZHONGWANG108","献县中旺渔具厂"
"WUXINGYUAN9902","福建省华源工贸有限公司"
"HSWG2011","何伟忠（个人经营）"
"FSYMQ88","红日电器公司销售部"
"JIAJI5360","张金华"
"GUANYUNJIXIE","东莞市冠润印刷机械设备科技有限公司"
"Z8F8H8","富强有限公司"
"HONGSHUNHUOYUN","广州红顺货运有限公司"
"GONGDE1688","东莞市贡德电子有限公司"
"ZHXING2200","永隆国际"
"YCXHSYZX","鼠标销售公司"
"CKSBDX88","广州市伟达塑胶五金制品有限公司"
"CNCENGRAVER","广州巨超数控设备有限公司"
"JNWJCJC","揭东经济开发区俊能五金餐具厂"
"QIXIXK","义乌市启喜相框厂"
"XSDTC","新时代通成"
"LHEXPRESS888","厦门力航快递有限公司"
"BROTHER838","丹阳市云阳镇福田搬家部"
"HZSHUOTONG","杭州硕通运输有限公司"
"W251321992","北京京华森物流发展有限公司"
"ZHANSONGCHENG888","深圳涛洋物流有限公司"
"WXSLWL168","无锡市水蓝货运代理服务部"
"WWW1101598298","天津庆源物流有限公司"
"FUKER808","北京跃瑞国际货运代理有限公司"
"TST899","深圳市泰顺通贸易有限公司"
"WXRJWL","无锡市瑞吉物流有限公司"
"SHHONGKONG1373","上海宏空物流有限公司"
"RDWL328","赵雄"
"SHANGHAIBAXIANSZ","上海霸先快递有限公司"
"SZBSWLGS","深圳市佰斯威国际货运代理有限公司"
"YANGQI139123","无锡宏昌物流（宁波）有限公司"
"GZXIAOMA2010","江西昌顺物流有限公司代理部"
"TSATWL","唐山安泰物流有限公司"
"TJXIYANGYANGWULIU","天津喜洋洋物流有限公司"
"WFU118","上海贵祥物流有限公司."
"CRE","中铁快运"
"ZHAOYANFENG1973","赵源锋（个体经营）"
"TYGG13508807377","云南冷藏货运官渡区站"
"LENGHUISG","上海桂兴物流有限公司"
"A693348058","江西省奉新东方汽车服务有限公司1"
"XXF8023","天台县诚欣袜店"
"HUJIANJUN1979","胡建军"
"OUMANYI","胡小欢(个体经营)"
"ZHANGLI3688","张力(个体经营)"
"CSBAIFU01","长沙百福运输有限公司"
"HBWAZIJIDI","涿州市妙言服装经营部"
"SHANGQIANNENG","尚俊韬"
"MS000Z","浙江华源天昌"
"SEEJE0072010","孟建国"
"ZMM00200800","马连(个体经营）"
"PENGSHENGPING","东莞市南城圣剑货运代理服务部"
"LUOJUNYS","罗军"
"DGWL2011","上海全源物流（无锡）有限公司"
"HAOKAI021","上海浩凯物流有限公司"
"FUYAN56","上海富盐物流有限公司"
"SZXUYI56","深圳市宝安区沙井旭亿货运部"
"SHXY201011","南京翔鹰物流有限公司"
"XADWL1688","深圳市兴安达物流有限公司"
"HOAU","天地华宇"
"CHINAVDNS","台州市椒江宝猫清洗设备厂"
"ZZLQSL","漳州市芗城区丽秋塑料包装品加工场"
"SZSHH360","深圳市深鸿海电子塑胶科技有限公司"
"YUKHUS","厦门琳龙物流有限公司"
"LOGISTICS021","广州市合晟物流有限公司番禺分部"
"HUIJUAN21","钱慧娟（个体经营）"
"LEIFEIHAO","雷飞（个体经营）"
"SZHANLONG2008","深圳市汉龙物流有限公司"
"WANGCHENWULIU","广州市旺宸物流有限公司"
"ZUNLONG56","深圳市尊龙货运代理有限公司"
"CHUJIHUANG","上海褚集物流有限公司"
"JINGYI0728","东莞精益物流公司"
"QQ452868689","上海誉荣物流有限公司"
"GZAJWLYUN","广州进诚货运代理有限公司---进口部"
"MA6555016","新邦物流佛山机场营业部"
"JBWLCY1688","吉邦物流有限公司"
"FZXSP56","上海显祖物流有限公司"
"DERSOM","深圳市德森物流有限公司"
"A799440262","厦门弘远工贸"
"LEIJIFENG","雷锋"
"M287564135","江西省信广物流有限公司"
"EYB","e邮宝"
"TONGCHENGHUOYUN","上海同成货运有限公司"
"SHHANSONG888","上海高竹自动化科技有限公司"
"ABCD19850528","美丽新主张"
"XULEI2008801","义乌市日兴饰品配件厂"
"REALLY0214","国泰集团"
"YWPZWH","义乌品臻文化用品有限公司"
"DENG20110114","RG贴膜批发"
"SHUNLI66666","东莞顺欣线业有限公司(生产部)"
"SZXGS1688","深圳市鑫港穗物流有限公司"
"ZHOUQIUREN","alifot软件"
"WANANZY","深圳市万安纸业有限公司"
"WEIYUEREN1976","臻诗服饰有限公司"
"HSTONGLIDE","北京同利德物流黄石分公司"
"KMWANGJINZHONG","昆明龙腾物流有限责任公司"
"GZXT56","广州市享通物流有限公司"
"DGKDHY","东莞市凯达货运有限公司"
"BOLIANGHUOYUN","苏州柏良货运有限公司"
"YYTY5688","南通同创货运有限公司"
"ZXJIUYE","桂林壮泉酒业有限公司"
"CZHFWL","郴州市宏华物流有限公司"
"CJDZ0627","深圳市成佳电子有限公司"
"BAOZHI201104","郑耿海"
"WENDY1984","王利燕(个体经营）"
"SHIYIJIAFANG","诗意家纺有限公司"
"XMDFXHY","厦门达发兴货运代理有限公司"
"CHENQINGXIANG19795","陈庆香（个体经营）"
"WANGXU5272259","上海雪臣服装有限公司"
"SHANGHAIHONGRU","上海洪如物流有限公司"
"ZANCHEN001","上海赞宸进出口有限公司"
"HONGTAIXIN1688","朱先会"
"CHENGXINJIAZU","广州市白云区太和容发货运市场舜发货运部"
"SZZQSWL","深圳市志强顺物流有限公司"
"OUYANGTAO0811","江门市新会区会城顺高公司货运部"
"SHLGYS","上海零格货物运输有限公司"
"SJSEA","天津顺津海物流有限公司"
"JIEXINWULIU","广州市杰鑫物流有限公司"
"QUANTONG66","无锡市全通物流有限公司"
"ZHAOYINHUA2046","杰豹货运"
"WUGUOLIANG201012","广东省东莞市厚街明盛家具材料店"
"SUZHOUXINGTAI","苏州市兴泰运输有限公司"
"SHMX356","上海明心物流有限公司"
"TONGERWEI","仝二委（个人）"
"ZFBPAEYH","李峰"
"FENGYE5710","高中伟"
"YLSHOPPING","广州吉泽瑞饰品有限公司"
"HEQI201288","深圳市华诚包装材料有限公司"
"QIYANG54435711","上海旗扬物流有限公司"
"SZHTHGJX","深州市宏通化工机械配件厂"
"JUFENGWULIU2011","飓风物流有限公司莆田营业部"
"TJ58SC","洪泽县天捷电器有限公司"
"LLT116","上海新邦物流有限公司"
"TIANWEIWULIU68","广昌县天伟物流有限公司"
"SZBENTENGWULIU","苏州奔腾货运有限公司"
"GZJLWL09","广州市健朗物流有限公司"
"NJXLWL","南京兴鑫物流有限公司"
"GZJL56","广州市健朗物流有限公司"
"DGZSWL","东莞中顺物流配送有限公司"
"ZHONGXIANGWULIU","杭州中祥物流有限公司"
"GZJP56","广州佳朋物流有限公司"
"NIEMUXING","上海龙开物流有限公司"
"XAYCWL","西安远诚物流有限公司"
"CINDY677","连云港通成物流有限公司"
"GANGBI214","远成物流有限公司西藏分公司"
"KAISU56","上海凯速物流有限公司"
"WXLB56","无锡市来邦货运代理服务部"
"SHISHANGGIRL","深圳市通运九州物流有限公司"
"SPPT","中广有限公司"
"ZHANGWEILIUWU","锦州惠发物流中心"
"SHENG20100530","许明胜(个体经营)"
"AOJIFU","龚启兵(个体经营)"
"JUNLONGGUOJI","北京庆祥鹏商贸有限公司"
"DOZE92","肇庆三龙货架有限公司"
"ZGANG3313","信得利服装有限公司"
"PING23452012","广州远顺物流有限公司"
"YHS6815788","台州翱翔手工艺品厂"
"RUYI0818","深圳市顺禄达物流有限公司"
"JINGTIANQNM","景田（定南）快运有限公司广州分公司"
"QZSXTAOCI","泉州嵩兴陶瓷有限公司"
"HNWANLIZHAOMING","海宁市袁花镇万里照明电器厂"
"LHXBWL","深圳市美泰物流企业集团"
"APPLETEA20","郭婷婷个体经营"
"YIFENGWULIU0001","南丰国际物流香港专线有限公司"
"YAN9025","广州市华奥拖车报关行"
"WGJNWJ88","王君 (个体经营）"
"BJCBFS","于杰涛"
"BRIUNION","博优实业香港有限公司"
"LILI3833","湖北康龙置业发展有限公司"
"ZZM757","无锡市红瑞货运配载服务部"
"YULB2008","余莲斌（个体经营个体经营）"
"JINGUIYUAN1985","大连金旺货物运输有限公司"
"XINGSHENGZHIDAI","东莞市兴盛织带有限公司"
"JUNZAIHAPPY","上海松针航空货运代理有限公司"
"ZBCHENGPENG","淄博市淄川程鹏化工厂"
"CZHBFW","常州恒邦劳务服务有限公司"
"DFQC1688","江西省奉新东方汽车服务有限公司"
"FENG540555696","河北艺龙有限公司"
"YANGLIN567","天津奥思德金属制品有限公司"
"HUANYUDAYANG","天津市丰懿泽货运有限公司"
"WOSHIHI","biaozou"
"FELIXWU88","嘉兴宜众物流有限公司"
"ZHEFENG168","詹钻"
"CHINAWAYLOGISTICS","柯于达（个体经营）"
"NMXD8888","熊丽(个体营业)"
"YSWSBZC","苍南县宜山镇益盛无纺布制袋厂"
"WXDONGJIANGWULIU","江西省东江物流有限公司"
"M279423661","陕西华萃商贸有限公司"
"WULINZUIWU","上海大屯能源 选煤中心 选煤厂"
"XINGCHENJIANCAI","青岛星辰建材厂"
"ZONGHENGWULIU2012","盐城纵横物流有限公司"
"WANGLONG6100","山东科能太阳能科技有限公司"
"QQ3618732","广州雪馨花食品有限公司"
"YIMIO","钟善珍(个体经营)"
"JXZMXBY","强盛笔业"
"YOU12098","广东轻质陶粒制品有限公司"
"DOUYA1986515","重庆联冠物流有限责任公司"
"WAHXW2010","七星报喜童装店"
"ZZXCMLMJ","中州永佳研磨科技发展有限公司."
"ZFBCHRISTIELIU","刘波"
"BJQILUWULIU56","北京齐鲁物流有限公司"
"SHGRWL","广州广日物流有限公司上海分公司"
"MOONPHASE2012","深圳共速达物流股份有限公司-市场部"
"CXWL1688","深圳市诚信物流有限公司"
"WENCHANGYS","汕头市千惠货运代理有限公司"
"SENWANGJIAJU","徐州名典家具有限公司"
"WXSSJLL","无锡市世纪银驰货运配载部"
