"CSZX","城市之星"
"LIANG3568","广州城市之星物流有限公司（营销部）"
"YXSFYS","宜兴世方运输有限公司"
"GUANHONGYINSHUA","东莞市厚街冠宏印刷器材店"
"ZZXFLWL0","郑州市管城区鑫龙货运信息部"
"JCYS01","嘉兴市景程运输有限公司"
"SHBOYANG","上海博阳物流有限公司"
"KYWL18861253300","科银物流(常州)有限公司 业务部"
"LEYIJIA168","曾庆杰"
"XIAO0823MEI","郑州生活家批发中心"
"ZHENBANGJIXIE2011","山东省烟台市振邦木工机械厂"
"YYZGJQ","咸丰县时尚女人服装店"
"ZHAOSHENGQIANG868","徐州华联玻璃制品有限公司"
"WEILING20120206","品嘉实业投资有限公司"
"SZGONGSI666","深圳市飙驰信通货运代理有限公司"
"ZHAOZHIDONG8","义乌小商品小东批发梦娜丝袜批发浪莎商行"
"CHUNMIANWAZI","丹鼎国际袜子机构"
"AGANA429","中国人寿保险股份有限公司策划部"
"WUXIYUNSHU2012","无锡远程货运公司"
"DDHK2007","诚信通新签5区"
"LJT1994","殷敬娇（个体经营）"
"HOORAYF","上海宏谊国际货运代理有限公司南京分公司"
"JINXING0704","深圳市旺顺达物流有限公司"
"AQQW586","深圳市明亮物流有限公司"
"LSP1683","林森朋"
"XIANGAIGEFUSHI","苏州香爱阁服饰有限公司"
"ITUCRAZYSHOP","杭州市旺铺装修有限公司"
"YICHAO2011","温州经济技术开发区超胜紧固件经营部"
"LXY80893","新颖软陶（个体经营）"
"SZXYDPY","深圳市星曜达电子科技有限公司"
"XINGXING1588","狮岭新星皮具有限公司"
"VALLEYSKY2012","上海谷天物流发展有限公司"
"SHKCARGO","康捷远桥国际物流（上海）有限公司"
"SHRUICAI","上海瑞彩化妆品有限公司"
"DGHEXIN88","东莞市河鑫运输有限公司"
"SZMIX2010","上海轩一物流有限公司无锡分公司"
"SHZDFZS","上海嘉定正达分子筛有限公司"
"ZHUFAN88","东莞市欧邦货运代理有限公司（市场部经理）"
"DEPPON056996","德邦物流石狮濠江路营业部"
"HANQI8888","北京京铁顺通物流有限公司"
"YZH8150326","上海辉霞物流有限公司"
"HHMAC","浙江省邮政速递物流有限公司宁波市分公司"
"LIUJIANHUA64","江西信广物流有限公司"
"WXFYYS822","无锡峰业运输有限公司"
"CZJXJD","常州美德自动化系统有限公司-销售部"
"LEEDOTJIANBIN","北京千舟物流服务有限公司"
"XZSJJC1","睢宁县睢城镇香樟树家具厂"
"CHAOGANG02","广州市健朗物流有限公司"
"CHWLXM","厦门宸辉物流有限公司"
"LCCCO001","深圳市路畅国际货运代理有限公司"
"XGD56DW","东莞市东坑兴广达货运代理服务部"
"SPELINA","上海通尔物流有限公司(业务部）"
"QXWL051266060995","苏州全鑫物流有限公司"
"ZHOUJILIN110","周继林"
"WEIYIHUI521","东莞市万利货运服务有限公司"
"MISSTB","台湾上大邮通国际物流有限公司（深圳上大）"
"YU540222029","汕头市德邦物流有限公司潮阳和平中寨分公司"
"TLSERVER2001","东莞宅急送快运有限公司寮步营业所"
"HYDELA","韩伟"
"YANYU568","广州市天河区沙东丽鑫尚服饰店"
"HZFZ311311","临安於潜后渚围巾厂"
"BARGBGU06212010","陈邱平"
"WHSXADWL","武汉顺祥安达物流有限公司"
"ANNA683","华发物流有限公司"
"SZL04111","东莞市凤岗镇神州龙物流有限公司"
"SXJNMY","山西晋农贸易有限公司"
"SHHONGHUI2011","上海虹会金属材料有限公司"
"XBWLYJJSL","广东新邦物流有限公司 阳江分公司"
"GZJJ20101688","广昌县惠昌物流有限公司"
"ZB15462","阿里巴巴公司"
"ZUS100_DU_CORP","义乌市派纳贸易有限公司"
"HLWJSPPJ668","东莞市长安华林五金饰品配件经营部"
"BINGXINWULIU","上海冰鑫物流有限公司"
"DTW","大田陆运"
"ZHANG2580649","张坚池"
"SANTIANWULIU","三天贸易有限公司"
"JASMINE52P","深圳市海光国际物流有限公司（总公司）"
"NANHUIWULIUNJ","扬州市南惠物流有限公司"
"CHENZHONGSHU1985","杭州卡佛丹宁有线公司"
"ANZEYJH","新河县安泽镜盒厂"
"HONGAOGUOJI","北京弘傲国际货运代理有限公司"
"SHQYWLGS","上海全源物流有限公司"
"QICHI27","新邦物流有限公司中山小榄营业部"
"SHXY56","上海先源物流有限公司"
"DEXTER56","广州海川物流搬家有限公司"
"ZHC321TAURUS","上海鼎辰物流有限公司"
"SHUNJING2000","深圳顺景货运代理有限公司"
"ZOEY136349594","三宁化工股份有限公司"
"DONGCHEN0903","精品服装专卖"
"COZEBUDDY2010","陈朋"
"SHANGUYIN1","山东佳怡物流有限公司南京岔路口店"
"WXHXWL8","上海汇星物流有限公司"
"FEIYUE51","林国和(个体经营)"
"GZOULAIYA","梁启锋(个体经营)"
"SHYJDZKJ8","上海亚津电子科技有限公司"
"YFTOP168","北京圆方志诚科技有限公司"
"AHFYCB1983","安徽阜阳洲联机械制造有限公司"
"VIKDA","深圳市维可达精密科技有限公司"
"QIANZISE8","武汉纳裕模具有限公司"
"MENTALITY88","中山非凡牛仔服饰公司"
"WZTMONICA","佛山瀚柏进出口有限公司"
"WEIQIXIONG1571","天地华宇物流有限公司深圳宝安分公司"
"SZZSWSP","苏州致胜货运有限公司"
"FENGSAWO","新邦物流东莞凤岗雁田营业部"
"QUNXINGMING","武汉市群星明贸易有限公司"
"QINYUAN56","广州市勤远物流有限公司"
"HLXBSC","深圳市万运国际物流公司"
"HAI0308","上海海博物流有限公司"
"AYIYITONG","庆阳帮帮香包刺绣工艺品公司"
"WSQJHM","王尚乾（个体经营）"
"SHENGXING33489","东莞市长安来盛皮带扣经营部"
"A153676062","无锡宏昌昌物流有限公司"
"SZPJLZ","深圳鹏基物流货运有限公司"
"XAJCWL","西安嘉诚物流有限公司"
"NJYQHY","南京百路通物流有限公司"
"SZSA56","深圳市金鹏圣安物流有限公司"
"MCF666","马车夫(北京)物流有限公司"
"XBWL","新邦物流"
"DEPPON","德邦物流"
"TRJXJ","茂名天然洁橡胶制品有限公司"
"JSJBZ168","江都市德利粉末冶金厂"
"LY1262","睢宁县高作镇瑗嘉家具门市"
"YANYAN1157","顺达劳保制品厂"
"AYSAN2011","深圳市动力时尚科技有限公司"
"ZHOUSHIWEI20110309","海城市岔沟镇金秋肥料土壤配肥中心"
"CHEMVIN","冲港物流(香港)有限公司"
"BOHAIJIE1987","日月明货运公司"
"WANG3691446","上海百生物流有限公司"
"JOYGROW","东莞集光金属制品有限公司"
"WYD56","苏州维易达运输有限公司"
"NEWSPEED520","长沙新时速货物运输服务有限公司"
"JDSHENG2010","余姚市东升物流有限公司"
"B2CARRY","广州明智国际货运代理有限公司"
"SHIQINGKANG118","国康鞋业有限公司"
"RAE888","上海瑞安货物运输有限公司"
"XIANGSHIJIANG","深圳德森物流有限公司"
"CZKJYS","常州市坤杰运输服务部"
"LP20054194","鹏达商贸有限公司"
"TYB87","广州市福地物流有限公司"
"XUKAIKAI2010","南昌市永安厨具燃气设备有限公司"
"LHH9885","临湘市忠信商贸中心"
"HONGJIAN201203","东莞泓键物流有限公司"
"QIANYONG0122","花海木屋工艺礼品商行"
"HNQDW","广州市全都旺食品有限公司"
"LIBAO110","李永雷"
"JUNHAO56","上海君好物流有限公司"
"ANTAIGUANGZHOU","江西安泰物流有限公司"
"TJLANXINYI01","天津市河北区蓝新易货运代理服务中心"
"DACHENGWULIU2011","中山捷诚物流有限公司"
"KAISU007","辽源市双成物资有限公司"
"QQ903689640","越发竹笪编织厂"
"XDLFZ88","苏州喜登鸟服饰有限公司"
"A258041223","潍坊市物流有限公司"
"SAN15152006313","李方方"
"DEJINWL","上海德锦物流有限公司"
"G19860720","阿里中国有限公司"
"QDZIYUE","青岛孜悦服装有限公司"
"WANGSHANYONGHARD","武汉晨华物流服务有限公司"
"X316632847","文文童鞋有限公司"
"HIGOGOY","宫杰超"
"ZQY2006AL","河北亿佳家居布艺有限公司"
"MINILUNDUN","黄然"
"AMETHYSTOM","武汉佳运通物流有限公司"
"KEXINWULIUFUWU","科信物流公司"
"WHHYXF168","武汉宏远鑫发运贸有限公司"
"MESSI2014","常熟德邦物流有限公司 "
"SHBANGDE88","上海邦德物流有限公司"
"SHENSHUNFENG123","深圳广丰顺丰货运公司"
"LINCHUAN56","上海临川物流有限公司"
"TAIZHOU56KUAIXUN","台州市锋速物流有限公司（业务部）"
"LIUMIN668","深圳市盟邦货物运输代理有限公司"
"WANGYONGHAIWANGJ","宁波东钱湖旅游度假区汇海物流有限公司"
"MINGXUAN56","深圳市明轩物流有限公司"
"BOHENG56","上海博恒物流有限公司"
"JINGTAIHY","袁继荣"
"NORMACAI","广州顺宇物流有限公司"
"SHLVYUN","上海颂瀚货运代理有限公司"
"WXZWP88","无锡市豪迈货运代理服务部"
"BJJSGWLGS","北京及时港物流有限公司"
"LUTAIWULIU","北京鲁泰物流有限公司"
"BJXIANGTONG56","北京百川货物运输有限公司"
"JNHFTD","济南汇丰通达货运有限公司"
"JINXIUBUHANG","广州市海珠区新窖锦绣布行"
"RUNYANG508","深圳市正皇庄中药饮片有限公司（一德集团）"
"JWANGCY","景德镇市景旺陶瓷有限公司"
"MAPLEQLD","秦翔宇"
"JMFAST56","广州市快时递快递有限公司江门分公司"
"YANGHAIXIAN2011","杨海贤"
"SZXINGGUANGHY","深圳市龙岗区星光货运代理服务部"
"SZQDHDHY","深圳市庆达物流有限公司"
"JIEYINWULIU","上海捷鹰货运代理有限公司"
"WXLXWL","无锡市龙翔物流有限公司"
"LONY588","李文亮 （个体经营）"
"ZZYSD","漳州市龙文区艺轩工艺品行"
"DENGBEN002","广州君品誉家具制造有限公司"
"DGBCMC","东莞市长安北辰模具钢材经营部"
"PENGJICHANG5858","上海慧佳货物运输代理有限公司"
"SHXH56","上海信辉货运代理有限公司"
"LINAN608","东莞市林安货运代理有限公司"
"NCQCYSGS","苏州安平运输有限公司无锡分公司"
"WWKGYJ","珠海公交信禾物流有限公司"
"FUXING2030999","连云港人人搬家有限公司"
"SIDI18208180803","武侯区欣心服饰店"
"HRDHYDL","深圳市鸿润达国际货运代理有限公司"
"AZHANGLILY313","深圳纤丽儿时尚服饰有限公司"
"PORTIASH","深圳波茜雅工艺品有限公司"
"LIUJUN20101016","上海宇晨袜业"
"LQXUEYA","龙泉市雪芽茶叶有限责任公司"
"FSDIJIANG","佛山市顺德区龙江镇帝匠家具厂"
"DILAOHU2010","苏州市沧浪区康成劳保用品经营部"
"ZGSLHG2011","自贡市神龙化工厂"
"HTOEX","东莞市航安快运公司"
"LIANG19881001AA","广州市进誉物流有限公司"
"TBYADANG35741444","赖祥生"
"ZHANGBO198525","张波"
"XBWLHZZK","惠州市全际通货运代理有限公司"
"CH748888","武汉市江岸区细萍副食店"
"A11724191","销售处1"
"JNSENLU","济南市天桥区永峰童装商行"
"SHENGYUANBANGDA","天津市东丽区盛源邦达配货站"
"SUZHOUYRD_DU_CORP","苏州友仁达磨料磨具有限公司"
"SUZHOUYRD","苏州友仁达磨料磨具有限公司"
"YUZHUO56","深圳市昱卓物流有限公司"
"ZHIJUNY","北京环亚运商物流有限公司大鲁店分公司"
"TOPYST","百惠物流有限公司"
"XJDLQ2010","李占伟"
"ANJINSHUN56AJS","天津安津顺货运公司"
"YOUA1806","马碧乐"
"DONGFENGDIANZI","常州市东峰电子配件厂(普通合伙)"
"YONGGUANWULIU","上海勇冠物流有限公司"
"LOGHUANGDAO","佛山新邦物流有限公司南海长虹岭分公司"
"WFTONGTU","潍坊通途物流有限公司"
"HFTJ56","合肥同洲（原同济物流）运输有限公司"
"JJXXKK","温州市瓯海物流信息中心-货运配载部"
"WXYUYA","无锡雨亚运输有限公司"
"JF5688801","厦门飓风货运代理有限公司"
"WWW888COM","上海浩凯物流有限公司"
"KRISS1246","上海郁邦货物运输代理有限公司"
"ANTAI1988","广州市新鑫物流有限公司"
"SZSDHY","苏州胜德货运有限公司"
"GHHY168","东莞市高辉货运服务有限公司"
"WENZHOUWL565656","伍思文"
"HONGXINWULIUY","宏鑫物流有限公司"
"TANGMEIYIN87","长沙佳和物流有限公司"
"SHUANGHUI19791023","上海双惠橡塑制品厂"
"WHQLMHY","武汉市洪山区千里马货运部"
"CAENNG","民航快递有限责任公司南宁分公司"
"CHENWEIROUBAO","陈伟(个体经营)"
"WLWLCOMPANY","安徽皖联物流有限公司"
"HNQJXJZP","海宁市钱浪橡胶制品厂"
"GDKAIHONG","广州凯鸿塑料制品有限公司"
"FUAN6","瑞安市富安不锈钢水塔厂"
"BANGTE888","杨建国(个体经营)"
"MLGGFS","东莞市虎门魅力果果服饰店"
"TAOBYLK","张扬"
"JASONQW","刘佑灵（个体经营）"
"YPP0769","东莞市雅平塑料制品有限公司"
"RUI2YOU","上海浩凯物流有限公司"
"XFCLPJ","无锡市锡山区安镇镇查桥新峰车辆配件厂"
"QYHUIXIN","清原满族自治县汇鑫食品有限公司"
"JINQIAOXC","深圳市金桥环世货运代理有限公司"
"QUANTWL","浙江全通物流有限公司"
"SOLONFENG","力帆运输"
"CDANHENG","成都安恒货运有限公司"
"CHENXINYA19891204","谢青永（个体经营）"
"RABHOPS2552","深圳市方利货运代理有限公司"
"GANHUIWULIU","无锡赣徽物流公司"
"LIULIANYONGYUAN","深圳市鑫捷诚物流有限公司客户经理刘生"
"MAFELLEE","忠实通中港专线物流有限公司"
"JNLUYUWULIU","济南鲁豫物流有限公司"
"CDBMZSNX","武侯区卓越服饰经营部"
"A13470","明亮贸易有限公司"
"QIOUPING123","邱礼苹(个体经营)"
"CHENWANQI138","陈婉齐（个体经营）"
"YUNTAIKUAIDI","上海运泰快递服务有限公司"
"A890105","广东外运国际货代有限公司东莞分公司"
"QQ714108838","深圳市驰鹏物流有限公司"
"SHIYIHAN778","深圳公明田寮分公司"
"SZXGS168","深圳市鑫港穗物流有限公司"
"SYHUALUO","沭阳县花络港湾园艺场"
"VIVIAN8429","秦雯"
"SHTFLY000","广州万隆华江物流有限公司深圳塘下分公司"
"JIANLAOTOU","平阳县健老头皮件有限公司"
"BAGS20120207","广州市伟达塑胶五金制品有限公司"
"SBIQJE1688","北京市光辉光宇运输有限公司"
"WINGFINE","深圳市兴龙昌科技有限公司"
"LIWEIWEN78","深圳市康柏国际货运代理有限公司进口部"
"SHAGJCTY88","上海安吉轿车托运有限公司"
"NIEWEI1229","上海龙开物流有限公司闵行分公司"
"XUANQING168","上海市轩庆物流有限公司"
"SHQINGQUN","上海清群物流有限公司"
"SAWL2","宁波三安物流有限公司"
"XUGENXIN520","徐根新（个体经营）"
"MSSHENTONG","眉山市神通运输有限公司"
"ZJWINKING","楼旭强"
"A278276478","余丹"
"QINGQUN6868","上海清群物流有限公司"
"JINGHANG2000","深圳市深京航物流有限公司"
"JINGHANG2002","深圳市深京航物流有限公司"
"MMING1986","福建华丰运输有限公司"
"BESTQJT","百世全际通"
"BJJIAYU168","北京佳宇天地物流有限公司"
"HUANGYALI95","天地人贸易有限责任公司"
"ZUS100","义乌市派纳贸易有限公司"
"QIANYESHISHANG","张清平"
"WINDOWSHUANG","黄炯"
"JINXIYUANJF","南通舒特佳纺织品有限公司"
"MEIDAZHIYE","保定市北市区美达纸制品销售部"
"CAWENJUN","东莞市长安雯俊五金制品厂"
"TONYGLACIER","东海水晶上海公司"
"LTXBFHZ","乐亭县八方货栈"
"QJZXDSHB","广州市博朗货物运输代理有限公司"
"JXTSLYD","嘉兴市秀洲区高照街道海峡食品店"
"WXSFWULIU","无锡顺发物流有限公司业务部"
"SZHW66","深圳市恒威物流货运有限公司"
"SDZHAOXIANGWEI","青岛网商天下信息技术有限公司（办公室）"
"HANSHEN863","安徽鑫奇特金属制品总厂"
"JIANGUO11085","阿里软件有限公司"
"BUSINESSOUR","刘波（个体经营）"
"SZBEIDOUSTAR","深圳市北斗星进出口有限公司"
"YST2012","杨士腾"
"NMGBT9188","内蒙古聚源煤炭运销有限公司"
"YWZTXWJ","雷恒春"
"ZHONGYUHUOYUN","上海宁宇物流有限公司"
"NANA190102","南通市峰业运输有限公司"
"FJQ8282","方建秋（个体经营）"
"KEVINW2012","武玉波"
"SZBENTENGHUOYUN","苏州奔腾货运有限公司"
"GOODLUCKTOXXQ","潮州市群发货运部"
"WENZHAOWULIU2012","广州物流公司"
"JLHB2009","杭州吉龙物流有限公司"
"GUOXINGJ","上海罗新国际货物运输代理有限公司"
"LEIJINGFENG","童之林物流有限公司"
"NET0DAY","苏州汇晶电火花设备有限公司"
"PSX123","吉纯水暖私营公司"
"LY12580","深圳市蓝洋国际货运有限公司（业务部）"
"JUCHAOLI","李巨超(个人)"
"XINGKONG1688","义乌市笨龙电子商务商行"
"XKNSGFJ","进口产品特惠屋"
"ZQH666666","张清华"
"KELIN1339476382","青岛鼎基国际物流"
"BJWANGYONGSONG","汪永松(个体经营)"
"ZONGBING84","上海总滨货物运输代理有限公司"
"DYH87250365","广州市东沿海阀门水暖器材有限公司"
"CHENHUI631","北京日韩服装服饰有限公司"
"TMALL888","张婷（个体经营）"
"HAXYZY2011","海安馨雅纸业有限公司"
"WXXLW56","苏州安平运输有限公司无锡分公司"
"XIADONG20101001","上海市雄瑞物流有限公司"
"JIANGFENGNIVIP","江凤妮"
"HUANGHESHUICAO","中国民生银行信用卡中心"
"JINGXING20110525","宁波东钱湖旅游度假区君浩塑料制品厂"
"LEIXIANLI1688_DU_CORP","余姚市春江电器有限公司"
"SGDJ168","韶关市韶工刀具有限公司"
"AOYUE666","上海奥悦电子有限公司"
"FZTTTG","福州市鼓楼区北伟贸易有限公司"
"GZSDEVA","广州市荔湾区盛大塑料制品厂"
"SHUANGXISHENWU","快乐学吧国际教育科技（北京）有限公司松桃店"
"Q854296830","沈新娣【个人会员】"
"JHX56","深圳市佳豪鑫货运代理部"
"AIYING902","昆山市佳丰货运有限公司（业务部）"
"LRJ2869","黄大爱"
"FENGHUAYAGEQIDONG","奉化市雅各气动成套有限公司"
"SHENBAIWAN511","北部新区百万货运服务部"
"WYMINGHAO","明浩皮革有限公司"
"PX20080808","东莞市鹏新塑胶制品有限公司"
"ZIXIAQIAN","钱子霞"
"A732793056","朝勇（路通）物流有限公司"
"SOMEBODY2012","somebody2012"
"KY288388","广州市康亚物流有限公司《佛山分公司》"
"CX7578","吉林省长浩拖拉机制造有限公司"
"KANGLI8607","广州康力物流集团江门分公司康力速递"
"DENJIANIHAO","李佳（个体经营） "
"LUZHSH2008","天津金宝转运公司"
"HZDHWL","杭州鼎鸿物流有限公司"
"GZHS5688","吉水县宏顺汽车发展有限公司"
"TAOLIUFENG","宁波江北中发物流有限公司"
"XYBWL","深圳市鑫永邦物流有限公司"
"CQXBJY","广州新邦物流成都分公司"
"DGFY1688","东莞市万江福甬货运代理服务部"
"JJFJJYP","北京久久发家居用品有限公司"
"FANCAN1688","范婵 (个体经营）"
"KMCGF","云南鹭华经贸有限公司"
"SMY0395","宋明阳(个体经营)"
"XIONGJIECHEN","陈杰"
"FUDTANXIN","上海义达物流有限公司"
"LUCKYDAY1016","东莞市铭星五金制品厂"
"FUKANGYUAN8","河北大城县保温材料厂"
"SZLYWL168","苏州龙洋物流有限公司"
"AXEXPRESS","深圳市天际航行国际货运代理有限公司"
"TJZPBZ","平阳县腾蛟镇植平包装厂"
"JIANANG69","伍建昂"
"NCJINDOUYUN","南昌市金斗云商贸有限公司"
"ZHENGQINGXIONG","深圳市法兰堡货运代理有限公司（销售业务部）"
"QUANJITONG","惠州市百世全际通物流"
"ZHANGFUGUANG0606","南宫市绒源毛毡制品贸易有限公司"
"ZHANGXINCHANG2011","无锡市永恒货运配载站"
"JCFTSY","广州市吉昌运输服务有限公司"
"PENGHUA20110707","杨小荣（个人经营）"
"HUIYIN688","广州市汇银物流有限公司"
"XDH19870717","德邦物流柳州城中区东环大道分公司"
"JIAJI","佳吉快运"
"OO110YANMEI","师联网络科技发展有限公司"
"JSWXBYD","无锡百易德商贸有限公司"
"QNAQGYSO","宁波大榭开发区申昌运输有限公司"
"QIUWENZHOU2011","中山市小榄镇永乐美容美发用品店"
"GZWINCO","贵州汇科电气有限公司销售部"
"DLYUGANG","马耀文(个人会员）"
"DERSOM1","深圳市德森物流有限公司"
"KAKAYIYI0","新余市伊轩服饰有限公司"
"LRGNGN","宁波迈斯源饮水设备有限公司"
"ZHENGXIAN66","东莞市长安佳越金属材料行"
"YIFENGCRAFT","余姚市益峰塑料制品厂"
"LQMY1688","宁波市鄞州乐琪贸易有限公司"
"LIAOWEI19860818","深圳市纯美娜贸易有限公司"
"KKJJLJB946","中国出租车联盟总公司"
"GAOPENGYU1111","北京鹏飞佳运物流有限公司"
"WXYQWLGS","无锡永强物流有限公司"
"YKDFG","永康市达菲格商贸有限公司"
"HUANGDMING555","黄海强"
"MT13932908861","河北天宇机械有限公司"
"LANZHENZONG","绍兴联创物流有限公司"
"JINCHENGZHIZAO","嘉兴市金城服饰有限公司"
"DSZ646592","新疆若羌沙泉果品专业合作社"
"MJHY1","无锡明佳货运有限公司（业务部）"
"XBLOGISTIC06","新邦物流有限公司天津津南营业部"
"FZGTHY","冠彤货运(福州)有限公司"
"LONGKAIWULIU","上海龙开物流有限公司"
"YOUDISHI2","绵阳高新区先行货运部"
"LDJ131468","深圳市神州龙物流股份有限公司"
"XIE519214754","广昌县晨晖物流有限公司"
"HRZ168","深圳好日子搬家公司业务部"
"GZQILI56","广州齐力物流有限公司"
"LUORUI001","上海达铑物流有限公司"
"JSWL960","崔小香"
"WANJIANGHUAYANG","东莞市万江华杨货运部"
"SUNJIANRONG0328","广州志鸿物流服务有限公司"
"HRQCYS","无锡华瑞汽车运输有限公司"
"DGSHUCHI1688","东莞华盛物流有限公司(货运部)"
"NBLUAN8","宁波路安运输有限公司"
"XUXUEHUA32","深圳达超物流有限公司"
"SHYINGTIAN168","上海颍天物流有限公司"
"SANHU666","三虎货运有限公司"
"ZTO","中通速递"
"YUNDA","上海韵达货运有限公司"
"STO","申通快递"
"BHTEXP","华慧快递"
"DHL","DHL"
"DPEX","DPEX"
"DEXP","D速快递"
"EMS","EMS"
"FEDEX","FedEx"
"CNGLS","GLS快递"
"KKE","京广速递"
"FASTEXPRESS","快捷速递"
"BLUEDART","蓝镖快递"
"LTS","联昊通物流"
"SFWL","盛丰物流"
"SHENGHUI","盛辉物流"
"SFEXPRESS","顺丰速运"
"SURE","速尔物流"
"CCES","CCES快递"
"XFHEX","鑫飞鸿物流快递"
"XFEXPRESS","信丰物流"
"STARS","星晨急便"
"COE","中国东方（COE）"
"ZTWL","中铁物流"
"CNPL","中邮物流"
"BROADASIA","亚风速递"
"EBONEXP","一邦速递"
"UC56","优速物流"
"YJKD","元智捷诚快递"
"ALEXLEE0506","卡斯特烫画坊"
"ADSECORP","深圳市美加快递有限公司"
"JIAJIEDENGJU","台州佳杰灯具制造有限公司"
"KALYGUO2009","广州拓广贸易有限公司"
"GG447186830","东莞市喜佰年物流有限责任公司总部"
"MEIXING006","汕头市美兴工艺玻璃实业有限公司"
"AMBERY831","康顺美家纺有限公司"
"PHILIPLAU","佛山市顺德区信与诚货运服务有限公司"
"YWZHENGHUI","义乌市正惠日用品有限公司"
"YECHENYUNSHU","叶辰物流运输公司"
"CDTFKJ","向光泽（个体经营）"
"HBRONGYE","南宫市恒建绒业有限公司"
"XXJY7","青岛迪生汽车销售广场"
"XXJY7143","新星家园物流公司"
"TSHGHT","唐山海港海通海运代理有限公司"
"LIUJIAN0317","尼克服装有限公司"
"CNZHAOMENG","赵猛"
"HENGFENG201203","佛山恒丰物流有限公司"
"ZHUJUNWDDP","北京鸿缔源科技发展有限公司"
"PRETTYBABY168","广州市番禺区南村博兴服装厂"
"HZWL2012","杭州畅鹏物流有限公司"
"HJTF123","深圳大新华物流销售部"
"SZBAOJUN6","深圳市宝骏物流有限公司"
"FANGUOXU123","旭东商贸物流公司"
"DAHAIYSH","深圳市龙岗区乐聪玩具商店"
"ZHONGMEIGK01","山东中煤工矿物资有限公司"
"YUANSKY75","深圳大洋国际物流有限公司天津铁洋分公司"
"PTPALI08","王毕才"
"XHZH3032599","兴化市志友染织有限公司"
"CHENWEICHENGUANG","海鲜大掌柜海产品批发市场"
"SHMILYLILY","富邦航运(深圳)有限公司上海分公司"
"VOUS2","宁波佰利华航国际货运代理有限公司（西非部）"
"NNHZJJ","广西南宁豪泽家具有限公司"
"MERRYZHUANG123","广州市海速程货运有限公司"
"YOUHANG588","广州优航货运代理有限公司"
"SZQINGDA668","深圳市庆达物流有限公司"
"CHICNATION","上海致格服饰有限公司"
"MF953256956","轻骑铃木配件济南平安专营店"
"LINCAICHUN2009","温州市四方物流服务有限公司"
"WUXILUOZHENGFA8","无锡物流天天快运配载服务部"
"EMA814155359","广州易玛物流有限公司业务部"
"AIER8866","义乌市贝琦电子商务商行"
"SHJIPINGWL","上海集平物流有限公司"
"UFOBIN2008","汕头市谢红内衣行"
"ENYON_DU_CORP","花儿朵朵服装有限公司"
"INKUSA","浙江易舱物流股份有限公司(义乌）"
"SHDYWL88","上海狄亚物流有限公司"
"BJSHIJIWEIYE","北京世纪伟业货运有限公司 "
"CHAOLIANG56","上海佳合运输有限公司"
"FIRSTKELLER","崔永刚(个体经营)"
"JIABANG168","东莞市万江佳邦货运部"
"CHINAWOTU","广州沃途服饰有限公司"
"XIANGGUANGWL","上海洲贸物流有限公司"
"CTAI2008","上海超泰物流有限公司"
"HNFSWL","湖南长沙方顺物流有限公司"
